date,hour,temperature,weather,wind,humidity,barometer,visibility
2024-09-29,1,15 °C,Overcast.,11 km/h,90%,101.77 kPa,16 km
2024-09-29,2,14 °C,Overcast.,11 km/h,90%,101.79 kPa,16 km
2024-09-29,3,14 °C,Overcast.,9 km/h,90%,101.75 kPa,16 km
2024-09-29,4,14 °C,Overcast.,7 km/h,90%,101.75 kPa,16 km
2024-09-29,5,14 °C,Overcast.,13 km/h,90%,101.75 kPa,16 km
2024-09-29,6,14 °C,Mostly cloudy.,9 km/h,90%,101.76 kPa,16 km
2024-09-29,7,14 °C,Mostly cloudy.,11 km/h,90%,101.80 kPa,16 km
2024-09-29,8,15 °C,Overcast.,15 km/h,87%,101.83 kPa,16 km
2024-09-29,9,16 °C,Overcast.,9 km/h,83%,101.84 kPa,16 km
2024-09-29,10,16 °C,Overcast.,9 km/h,81%,101.85 kPa,16 km
2024-09-29,11,17 °C,Overcast.,11 km/h,78%,101.87 kPa,16 km
2024-09-29,12,17 °C,Overcast.,11 km/h,78%,101.85 kPa,16 km
2024-09-29,13,18 °C,Overcast.,13 km/h,73%,101.82 kPa,16 km
2024-09-29,14,19 °C,Partly sunny.,13 km/h,68%,101.75 kPa,16 km
2024-09-29,15,20 °C,Mostly cloudy.,11 km/h,65%,101.72 kPa,16 km
2024-09-29,16,19 °C,Mostly cloudy.,9 km/h,68%,101.69 kPa,16 km
2024-09-29,17,19 °C,Mostly cloudy.,No wind,70%,101.67 kPa,16 km
2024-09-29,18,18 °C,Broken clouds.,7 km/h,73%,101.66 kPa,16 km
2024-09-29,19,18 °C,Passing clouds.,6 km/h,75%,101.69 kPa,16 km
2024-09-29,20,17 °C,Mostly cloudy.,7 km/h,81%,101.72 kPa,16 km
2024-09-29,21,17 °C,Overcast.,No wind,81%,101.75 kPa,16 km
